post_id,post_date,post_type,caption,hashtags,hashtag_count,reach,impressions,likes,comments,shares,saves,follows_gained
IG0020,2025-04-10 09:27:00,Image,Big announcement coming soon about fashion!,#marketing #lifestyle #reels #ootd #delhi #fashion #india #art,8,5695.0,8591,81,2.0,36,31,7
IG0021,2025-06-27 05:03:00,Image,Check out our latest travel update! What do you think?,#foodie #photography #instagood #delhi #explorepage #reels #travel #ootd,8,1649.0,2101,78,4.0,29,39,6
IG0022,2025-06-19 10:59:00,Reel,5 tips every beginner should know about art.,#reels #nature #explorepage #motivation,4,6844.0,7545,290,10.0,158,225,21
IG0023,2024-03-15 00:29:00,Image,A day in the life: travel edition.,#foodie,1,2408.0,3547,38,1.0,33,44,3
IG0024,2024-09-07 11:18:00,Reel,Check out our latest tech update! What do you think?,#technology #delhi,2,3571.0,5665,156,8.0,76,139,20
IG0025,2024-04-16 04:16:00,Carousel,A day in the life: food edition.,#fitness,1,2099.0,3067,80,0.0,35,20,4
IG0026,2025-12-04 20:54:00,Video,Why fitness matters more than you think.,#india #marketing #motivation #travel,4,3541.0,3922,168,5.0,75,113,24
IG0027,2024-05-13 20:16:00,Reel,Check out our latest art update! What do you think?,#technology #delhi,2,10353.0,13028,485,18.0,312,360,59
IG0028,2024-06-01 17:02:00,Reel,A day in the life: fashion edition.,#mumbai #delhi #lifestyle #startup #instagood,5,6015.0,9255,258,11.0,140,122,13
IG0029,2024-02-10 11:13:00,Image,5 tips every beginner should know about art.,#fitness #art #delhi,3,4304.0,6699,142,4.0,70,88,16
IG0030,2024-06-30 13:01:00,Image,A day in the life: travel edition.,#nature #startup,2,3061.0,3941,109,4.0,8,47,7
IG0031,2024-02-09 15:14:00,Reel,We just launched something new in travel. Link in bio!,#technology #art #ootd,3,4637.0,5187,280,,31,126,25
IG0032,2024-03-12 08:22:00,Reel,Check out our latest tech update! What do you think?,#business #delhi #nature #fashion #fitness #technology #lifestyle #foodie,8,3898.0,4388,227,8.0,84,140,34
IG0033,2024-11-17 13:38:00,Carousel,Big announcement coming soon about travel!,#fitness #business #reels #motivation #travel #art #delhi #fashion,8,8099.0,10005,261,3.0,24,293,63
IG0034,2025-09-30 10:42:00,Carousel,Why tech matters more than you think.,#ootd,1,2351.0,2769,80,2.0,43,61,6
IG0035,2024-07-15 13:42:00,Video,We just launched something new in tech. Link in bio!,#photography #mumbai #ootd #business #fashion #lifestyle,6,4928.0,6928,266,5.0,45,127,6
IG0036,2025-04-21 14:28:00,Reel,A day in the life: fitness edition.,#india #marketing #photography,3,7436.0,9942,438,15.0,125,91,12
IG0037,2024-08-28 21:19:00,Reel,We just launched something new in fashion. Link in bio!,#reels #lifestyle #fashion,3,13611.0,15280,952,39.0,240,568,103
IG0038,2025-04-11 13:56:00,Reel,,#business #marketing #instagood,3,6499.0,7235,315,17.0,128,140,25
IG0039,2024-04-19 13:14:00,Carousel,We just launched something new in fashion. Link in bio!,#india #technology,2,6640.0,8585,306,16.0,45,40,2
IG0040,2025-04-20 21:33:00,Reel,,#instagood #nature #technology #india #startup #marketing #motivation #explorepage,8,6799.0,7720,307,16.0,26,271,28
IG0041,2024-10-10 16:31:00,Reel,We just launched something new in tech. Link in bio!,#motivation #technology #foodie,3,9834.0,15131,765,38.0,111,122,24
IG0042,2024-05-21 04:14:00,Image,Why wellness matters more than you think.,#lifestyle #reels #foodie #startup #india #photography,6,3599.0,4628,119,3.0,67,94,12
IG0043,2025-08-21 22:01:00,Image,We just launched something new in art. Link in bio!,#marketing #fashion #art #ootd #business #startup,6,2909.0,4512,96,4.0,22,79,10
IG0044,2025-02-02 10:42:00,Reel,Behind the scenes of fashion — swipe to see more.,#photography #technology #lifestyle #fashion #business #ootd,6,6962.0,10967,379,15.0,112,121,14
IG0045,2024-02-21 08:24:00,Carousel,Why tech matters more than you think.,#reels #technology #nature #delhi #business,5,6953.0,10393,309,10.0,26,155,21
IG0046,2025-07-06 01:22:00,Image,We just launched something new in travel. Link in bio!,#foodie #travel #fashion,3,2312.0,2708,62,2.0,8,12,2
IG0047,2025-04-29 21:07:00,Reel,Behind the scenes of food — swipe to see more.,#technology #motivation #art,3,7922.0,9036,474,28.0,110,164,34
IG0048,2025-08-15 00:59:00,Video,We just launched something new in fitness. Link in bio!,#mumbai #business #instagood #reels,4,2697.0,4014,85,2.0,54,17,2
IG0049,2025-09-06 03:50:00,Reel,Why business matters more than you think.,,0,4002.0,4639,198,8.0,98,120,29
IG0050,2024-01-13 13:52:00,Reel,,#fitness #startup #art #technology #lifestyle #reels #foodie,7,8514.0,10317,473,5.0,265,56,12
IG0051,2024-11-26 07:53:00,Carousel,We just launched something new in wellness. Link in bio!,#motivation,1,5905.0,8039,252,11.0,75,147,24
IG0052,2024-12-10 00:31:00,Image,A day in the life: business edition.,#photography #marketing #reels #art #motivation,5,12141.0,15038,218,7.0,101,227,14
IG0053,2024-01-11 16:12:00,Video,,#explorepage,1,1398.0,2106,56,1.0,28,38,9
IG0054,2025-12-29 15:28:00,Image,A day in the life: fitness edition.,,0,1761.0,2758,101,1.0,4,23,4
IG0055,2025-08-18 11:30:00,Video,A day in the life: tech edition.,#india #art #startup #nature #mumbai #marketing #explorepage #lifestyle,8,4711.0,6079,104,5.0,88,81,10
IG0056,2025-07-02 22:11:00,Reel,Behind the scenes of tech — swipe to see more.,#reels #marketing #motivation,3,5842.0,8672,360,18.0,60,141,10
IG0057,2024-11-05 00:45:00,Video,Behind the scenes of wellness — swipe to see more.,#lifestyle #motivation #travel #delhi #ootd #art #foodie #nature,8,1886.0,2708,79,2.0,8,43,6
IG0058,2025-03-27 10:11:00,Image,,,0,6964.0,9582,216,11.0,64,46,2
IG0059,2025-08-13 20:43:00,Image,5 tips every beginner should know about food.,,0,8258.0,9963,309,3.0,68,156,20
IG0060,2024-09-11 03:35:00,Carousel,A day in the life: wellness edition.,#instagood #explorepage #india #business #technology #marketing,6,3924.0,5324,209,6.0,64,128,30
IG0061,2025-09-27 01:39:00,Reel,A day in the life: travel edition.,#reels,1,5778.0,7101,374,22.0,100,109,19
IG0062,2024-03-17 05:00:00,Reel,,#technology #marketing #ootd #travel #explorepage #lifestyle,6,7126.0,8486,297,16.0,120,239,20
IG0063,2025-10-02 18:42:00,Reel,5 tips every beginner should know about travel.,#startup #fitness #delhi,3,3720.0,4256,163,5.0,34,76,11
IG0064,2024-06-18 09:38:00,Carousel,A day in the life: art edition.,#technology #fitness #instagood #ootd,4,3097.0,4759,148,1.0,27,95,18
IG0065,2024-02-10 13:47:00,Reel,A day in the life: fashion edition.,#instagood #motivation #fashion #foodie #explorepage,5,4311.0,5786,175,4.0,71,159,9
IG0066,2025-06-15 20:28:00,Reel,,#photography #mumbai #startup #marketing,4,7999.0,10845,477,7.0,128,222,21
IG0067,2024-06-13 10:26:00,Reel,Big announcement coming soon about tech!,#ootd #business #delhi #travel #technology #india #photography,7,5256.0,6628,267,7.0,34,227,38
IG0068,2024-01-02 21:55:00,Carousel,Check out our latest wellness update! What do you think?,#technology #startup #travel #reels #art #ootd #business #explorepage,8,4531.0,5181,272,10.0,87,83,6
IG0069,2025-03-24 22:31:00,Reel,,#fashion,1,12552.0,17389,467,27.0,259,188,13
IG0070,2024-08-18 03:29:00,Reel,A day in the life: wellness edition.,#lifestyle,1,4073.0,4860,189,3.0,118,33,5
IG0071,2025-04-28 07:29:00,Reel,Big announcement coming soon about art!,#lifestyle #business #reels #india #instagood #startup #travel #marketing,8,7220.0,11066,420,9.0,58,243,57
IG0072,2024-10-16 23:19:00,Carousel,,#lifestyle #technology #delhi #marketing #art #photography #motivation,7,1817.0,2697,80,2.0,21,37,3
IG0073,2024-09-01 18:24:00,Reel,Why wellness matters more than you think.,#startup #travel #nature,3,2519.0,3502,151,5.0,46,17,1
IG0074,2024-06-04 15:02:00,Reel,Behind the scenes of business — swipe to see more.,#india #mumbai,2,10132.0,12435,505,24.0,206,255,33
IG0075,2025-04-12 00:46:00,Reel,,#startup #lifestyle,2,6395.0,7613,323,15.0,126,263,20
IG0076,2025-02-11 20:05:00,Image,We just launched something new in fitness. Link in bio!,#delhi #business #nature #marketing #travel,5,2784.0,3291,72,3.0,31,35,7
IG0077,2024-04-02 13:06:00,Reel,A day in the life: food edition.,#technology,1,5076.0,6540,361,9.0,125,134,12
IG0078,2024-10-27 11:23:00,Image,Behind the scenes of food — swipe to see more.,#lifestyle #explorepage #india #startup #photography #foodie,6,5745.0,8923,25,0.0,108,114,13
IG0079,2025-05-24 18:09:00,Reel,Check out our latest tech update! What do you think?,#technology #motivation #instagood,3,7709.0,10536,599,29.0,58,140,13
IG0080,2025-07-13 05:04:00,Image,We just launched something new in tech. Link in bio!,#art #mumbai #ootd #startup #motivation #explorepage #india,7,3787.0,5609,97,2.0,63,22,4
IG0081,2025-01-25 18:22:00,Reel,Check out our latest fashion update! What do you think?,#ootd #fashion #business #motivation,4,11823.0,13891,548,25.0,283,384,72
IG0082,2024-10-20 07:38:00,Carousel,A day in the life: fashion edition.,#explorepage #reels #motivation #lifestyle #fitness,5,2973.0,3540,81,3.0,34,57,13
IG0083,2024-05-14 02:58:00,Reel,Big announcement coming soon about food!,#nature #startup #photography #reels,4,6433.0,9043,507,27.0,193,187,35
IG0084,2024-09-20 15:51:00,Video,We just launched something new in food. Link in bio!,#nature #fitness #technology #foodie,4,2592.0,3598,106,3.0,43,80,18
IG0085,2025-07-24 11:05:00,Carousel,Why tech matters more than you think.,#fashion #motivation #delhi #fitness #technology #photography,6,18387.0,23893,781,20.0,378,71,8
IG0086,2024-08-27 15:01:00,Reel,Check out our latest food update! What do you think?,#nature #explorepage #foodie #technology #ootd #instagood #reels #travel,8,9161.0,11663,496,23.0,148,132,18
IG0087,2024-04-09 07:56:00,Reel,Why food matters more than you think.,#lifestyle #business #technology #art #startup #ootd #india #marketing,8,5804.0,7600,244,6.0,115,186,9
IG0088,2024-10-13 01:44:00,Carousel,Big announcement coming soon about fitness!,#reels #technology #mumbai #explorepage #art,5,3925.0,4484,117,4.0,62,23,4
IG0089,2025-02-11 08:12:00,Reel,We just launched something new in fitness. Link in bio!,#technology,1,5468.0,6536,278,9.0,106,41,8
IG0090,2024-12-07 07:08:00,Carousel,We just launched something new in travel. Link in bio!,#foodie #delhi #reels,3,1059.0,1377,58,1.0,6,34,8
IG0091,2024-01-03 08:54:00,Reel,5 tips every beginner should know about tech.,#lifestyle #delhi,2,9212.0,12015,313,5.0,219,306,16
IG0092,2025-01-01 07:37:00,Reel,Behind the scenes of art — swipe to see more.,#fashion #photography #motivation #travel #lifestyle,5,8663.0,9614,320,15.0,72,285,27
IG0093,2025-06-09 18:06:00,Reel,Check out our latest fashion update! What do you think?,#india #explorepage #travel #instagood #ootd #mumbai #nature,7,9114.0,13924,424,12.0,204,124,13
IG0094,2024-04-20 15:45:00,Image,Why business matters more than you think.,#foodie #instagood #nature #lifestyle #mumbai #marketing #india,7,4356.0,5709,65,3.0,35,43,5
IG0095,2025-09-11 13:06:00,Carousel,Why travel matters more than you think.,#delhi,1,6899.0,9001,159,5.0,62,246,49
IG0096,2025-04-09 12:26:00,Reel,Big announcement coming soon about art!,#nature,1,5706.0,8828,423,13.0,21,93,14
IG0097,2025-04-30 02:05:00,Carousel,Behind the scenes of art — swipe to see more.,#foodie,1,3231.0,4902,127,4.0,20,41,2
IG0098,2024-03-02 18:35:00,Image,A day in the life: tech edition.,#nature #fitness #startup #art #delhi #marketing #india #fashion,8,4055.0,5016,70,2.0,68,34,1
IG0099,2025-11-03 15:14:00,Reel,Behind the scenes of business — swipe to see more.,#art,1,14204.0,20347,987,54.0,216,303,46
IG0100,2025-07-28 19:39:00,Reel,Big announcement coming soon about business!,#fashion #motivation #instagood #photography #mumbai #art #business #lifestyle,8,7744.0,8838,364,,111,133,16
IG0101,2025-02-14 02:09:00,Image,We just launched something new in fitness. Link in bio!,,0,4992.0,6679,38,2.0,75,43,2
IG0102,2024-11-15 23:20:00,Reel,5 tips every beginner should know about food.,#travel,1,4244.0,5721,246,6.0,107,39,2
IG0103,2025-03-29 21:27:00,Image,Big announcement coming soon about fitness!,#instagood #technology #startup #motivation #reels #business #india,7,10788.0,14212,295,15.0,176,234,24
IG0104,2025-05-13 16:42:00,Carousel,We just launched something new in fashion. Link in bio!,#travel #explorepage #business #instagood,4,3050.0,4753,105,6.0,38,30,4
IG0105,2024-09-18 09:20:00,Image,Why wellness matters more than you think.,#fashion,1,5705.0,8154,224,11.0,37,92,8
IG0106,2025-05-27 17:53:00,Video,Behind the scenes of wellness — swipe to see more.,#foodie #business #travel #startup #fashion,5,5072.0,6037,188,10.0,14,121,13
IG0107,2025-12-27 20:26:00,Video,,#fitness #business #fashion #nature,4,7452.0,11343,235,12.0,21,156,14
IG0108,2024-04-18 07:27:00,Reel,5 tips every beginner should know about business.,#india #foodie #business #ootd #nature #fitness,6,6582.0,8358,340,4.0,80,184,38
IG0109,2024-07-17 11:22:00,Reel,A day in the life: food edition.,#explorepage #fitness,2,9388.0,13217,517,5.0,265,53,11
IG0110,2025-11-02 02:11:00,Carousel,,#technology #mumbai #instagood #nature #india #foodie #explorepage,7,3424.0,4587,207,11.0,84,101,13
IG0111,2024-02-27 11:32:00,Carousel,,#ootd,1,2816.0,3253,138,3.0,25,32,1
IG0112,2025-10-22 02:39:00,Reel,Big announcement coming soon about travel!,#business #technology #delhi #travel #mumbai #marketing #instagood #ootd,8,5715.0,7384,346,7.0,174,221,15
IG0113,2025-04-06 03:51:00,Reel,,#foodie #india #photography #travel #explorepage,5,20751.0,24559,1083,23.0,629,681,116
IG0114,2024-10-16 12:26:00,Carousel,Why fitness matters more than you think.,#instagood #travel #nature #foodie #delhi,5,3204.0,3877,100,4.0,33,18,4
IG0115,2025-09-09 04:21:00,Image,Big announcement coming soon about food!,#mumbai,1,2964.0,4384,45,0.0,49,26,2
IG0116,2024-05-12 19:45:00,Carousel,Big announcement coming soon about art!,#ootd,1,10660.0,12213,739,17.0,57,359,86
IG0117,2025-12-02 16:05:00,Image,Big announcement coming soon about travel!,#india #art #fashion #mumbai #ootd #foodie,6,4909.0,6751,193,5.0,42,49,9
IG0118,2024-05-20 04:04:00,Carousel,Big announcement coming soon about fashion!,#fitness #india #delhi #mumbai,4,3423.0,5222,149,5.0,54,108,12
IG0119,2024-06-06 05:11:00,Carousel,Big announcement coming soon about art!,#technology #travel,2,1847.0,2843,92,3.0,39,60,11
IG0120,2024-10-18 23:50:00,Image,Big announcement coming soon about travel!,#explorepage #delhi #instagood #ootd #marketing #technology #startup,7,6546.0,9225,309,5.0,116,173,9
IG0121,2024-10-15 12:32:00,Image,Behind the scenes of business — swipe to see more.,#startup #photography #reels #lifestyle #motivation #fashion #nature #explorepage,8,2970.0,4371,52,2.0,50,49,2
IG0122,2024-03-26 05:17:00,Reel,Check out our latest business update! What do you think?,#india #lifestyle #startup #foodie #explorepage #delhi #marketing,7,6471.0,9162,340,14.0,121,249,17
IG0123,2025-01-30 02:23:00,Image,5 tips every beginner should know about business.,#fashion #nature #fitness,3,4894.0,6219,153,8.0,18,138,25
IG0124,2025-12-13 04:48:00,Reel,Why food matters more than you think.,#technology #fashion #foodie #mumbai #motivation #fitness #startup,7,10514.0,11919,451,12.0,221,71,15
IG0125,2024-02-18 07:26:00,Video,Why tech matters more than you think.,#foodie #fitness #marketing #fashion #explorepage #art #instagood,7,4901.0,5451,118,,58,128,23
IG0126,2024-07-10 21:42:00,Carousel,Behind the scenes of business — swipe to see more.,#india,1,2052.0,2425,28,1.0,15,13,2
IG0127,2025-06-03 17:01:00,Carousel,Big announcement coming soon about fashion!,#marketing #travel #business #art #motivation #india,6,4027.0,6329,103,4.0,46,52,12
IG0128,2025-10-05 03:49:00,Reel,,#lifestyle #travel #art #nature #photography,5,5101.0,6154,271,11.0,70,214,30
IG0129,2025-04-13 01:18:00,Video,A day in the life: business edition.,#travel #reels #instagood,3,4645.0,6913,153,7.0,80,101,7
IG0130,2024-09-16 01:48:00,Reel,A day in the life: business edition.,#ootd #art #travel,3,6490.0,9723,415,6.0,44,223,30
IG0131,2025-03-26 12:21:00,Reel,A day in the life: business edition.,#marketing #instagood,2,3875.0,5390,201,10.0,47,94,4
IG0132,2025-09-08 05:34:00,Reel,A day in the life: tech edition.,#nature #fitness #foodie #instagood,4,4542.0,6358,105,4.0,127,174,10
IG0133,2025-03-30 11:28:00,Carousel,Why business matters more than you think.,,0,3937.0,6272,128,4.0,64,108,17
IG0134,2024-03-17 21:40:00,Reel,Check out our latest wellness update! What do you think?,#art #india #photography #fashion #lifestyle #startup,6,6532.0,7472,184,2.0,35,143,10
IG0135,2025-01-05 12:36:00,Carousel,,,0,7840.0,9408,352,5.0,131,216,12
IG0136,2025-08-10 04:33:00,Video,5 tips every beginner should know about fashion.,#business #nature #motivation #explorepage #fitness,5,4138.0,6018,115,5.0,74,55,11
IG0137,2024-09-25 08:45:00,Reel,,#reels #ootd #marketing #instagood #fitness #foodie #startup,7,6204.0,9359,413,17.0,113,225,14
IG0138,2025-11-29 10:42:00,Reel,5 tips every beginner should know about food.,#foodie #delhi #mumbai #ootd #india,5,4071.0,6252,186,10.0,52,51,10
IG0139,2024-07-24 04:15:00,Carousel,Behind the scenes of food — swipe to see more.,#fashion #art #delhi #mumbai #technology #business #motivation,7,23246.0,33929,861,51.0,567,597,53
IG0140,2025-05-05 16:26:00,Carousel,Big announcement coming soon about wellness!,#mumbai #foodie #lifestyle #nature #instagood #explorepage,6,3950.0,6059,81,3.0,47,60,7
IG0141,2025-08-24 05:49:00,Video,Behind the scenes of fashion — swipe to see more.,#startup #india,2,1696.0,2480,100,5.0,33,26,2
IG0142,2025-12-27 07:22:00,Carousel,5 tips every beginner should know about fitness.,#ootd #foodie #motivation #reels #delhi #mumbai #nature #lifestyle,8,10252.0,15035,546,25.0,235,100,9
IG0143,2025-10-01 23:57:00,Video,We just launched something new in tech. Link in bio!,#mumbai #travel #fashion #foodie #instagood,5,4785.0,6441,136,7.0,52,88,10
IG0144,2025-05-24 20:34:00,Carousel,,#ootd #marketing #explorepage #business,4,3728.0,5907,93,3.0,36,111,8
IG0145,2025-05-10 14:13:00,Video,5 tips every beginner should know about art.,#instagood #lifestyle #nature #delhi #art,5,1702.0,1934,47,1.0,15,47,6
IG0146,2024-09-04 14:07:00,Reel,A day in the life: fashion edition.,#technology #explorepage #lifestyle #fitness,4,13298.0,15738,810,9.0,324,445,64
IG0147,2024-06-12 10:59:00,Image,A day in the life: wellness edition.,#reels #photography #marketing #india #technology,5,4444.0,6817,191,2.0,30,20,3
IG0148,2025-04-13 07:13:00,Video,Check out our latest tech update! What do you think?,#travel #instagood #ootd #marketing #india,5,5992.0,7538,197,2.0,30,195,47
IG0149,2025-01-09 12:23:00,Reel,Check out our latest art update! What do you think?,,0,6289.0,9647,379,13.0,108,211,16
IG0150,2024-03-16 12:32:00,Reel,Big announcement coming soon about business!,#delhi #motivation #fitness #lifestyle #instagood #reels #photography,7,10716.0,12869,468,27.0,63,362,50
IG0151,2025-05-27 01:02:00,Image,Big announcement coming soon about food!,,0,4919.0,7472,98,4.0,53,96,21
IG0152,2025-06-11 04:20:00,Carousel,,#photography #business #ootd #nature #marketing,5,8359.0,10096,485,14.0,143,61,11
IG0153,2025-03-02 18:19:00,Video,A day in the life: wellness edition.,,0,6961.0,10380,217,10.0,136,106,12
IG0154,2025-08-14 07:46:00,Carousel,5 tips every beginner should know about wellness.,,0,6321.0,9474,309,15.0,32,139,7
IG0155,2025-01-24 04:52:00,Reel,Check out our latest travel update! What do you think?,#travel #mumbai #fitness,3,2884.0,4175,96,3.0,28,60,5
IG0156,2024-07-27 13:32:00,Reel,Big announcement coming soon about art!,#travel #lifestyle #india #reels #nature #marketing #explorepage,7,14373.0,20262,970,28.0,403,391,57
IG0157,2025-07-13 11:43:00,Reel,A day in the life: tech edition.,#instagood #marketing #reels #explorepage,4,3083.0,4006,112,4.0,63,116,24
IG0158,2024-10-22 22:13:00,Image,Why art matters more than you think.,#nature #marketing #art #motivation #ootd #travel #mumbai,7,5527.0,6752,202,2.0,104,69,4
IG0159,2024-10-24 01:18:00,Carousel,A day in the life: wellness edition.,#art,1,2819.0,3534,85,3.0,26,68,13
IG0160,2024-10-04 17:44:00,Reel,We just launched something new in fashion. Link in bio!,#lifestyle #fitness #explorepage #delhi,4,3393.0,4039,185,3.0,62,120,8
IG0161,2025-04-28 03:43:00,Carousel,Why food matters more than you think.,#fashion #delhi,2,9815.0,13496,349,14.0,234,236,50
IG0162,2025-10-28 06:48:00,Image,Check out our latest travel update! What do you think?,#nature #ootd #travel #foodie,4,2474.0,3477,51,2.0,45,31,3
IG0163,2024-06-29 01:53:00,Image,Big announcement coming soon about fitness!,#marketing #photography #ootd #travel #fashion #lifestyle,6,5662.0,7427,133,1.0,74,86,14
IG0164,2025-05-20 04:54:00,Reel,5 tips every beginner should know about tech.,#technology #motivation #reels #fitness #nature #foodie #art #explorepage,8,8255.0,9975,452,,179,256,40
IG0165,2025-11-21 06:11:00,Reel,5 tips every beginner should know about fitness.,#startup #india #nature #foodie #business #delhi,6,13000.0,17528,489,8.0,301,289,39
IG0166,2024-01-07 08:24:00,Image,Check out our latest tech update! What do you think?,#technology #motivation #nature,3,4978.0,6158,226,3.0,90,40,4
IG0167,2025-11-14 03:29:00,Reel,A day in the life: fitness edition.,#photography #business #india #ootd,4,4219.0,5735,199,9.0,41,118,26
IG0168,2025-05-04 04:29:00,Carousel,,#startup #delhi #marketing #reels #explorepage,5,1520.0,1925,72,4.0,26,34,6
IG0169,2024-04-24 01:53:00,Carousel,Behind the scenes of wellness — swipe to see more.,#india #reels #delhi #lifestyle #photography #marketing #startup #motivation,8,4799.0,7576,142,6.0,33,104,7
IG0170,2025-06-06 14:51:00,Carousel,5 tips every beginner should know about wellness.,,0,3036.0,4348,183,10.0,23,52,4
IG0171,2025-04-18 21:51:00,Video,Behind the scenes of travel — swipe to see more.,#fashion #business #motivation #instagood,4,4169.0,6341,184,7.0,16,107,8
IG0172,2024-03-02 02:59:00,Image,Big announcement coming soon about art!,#travel #ootd #startup #photography #lifestyle #business #nature,7,5374.0,6008,214,4.0,45,28,6
IG0173,2025-01-21 12:05:00,Carousel,Check out our latest travel update! What do you think?,#lifestyle #art #fitness #photography #business #motivation #foodie #mumbai,8,2854.0,3777,59,2.0,66,58,14
IG0174,2025-07-11 13:34:00,Image,Behind the scenes of travel — swipe to see more.,#explorepage #instagood #technology #art #lifestyle #marketing,6,3808.0,4913,118,6.0,62,92,10
IG0175,2024-01-17 07:13:00,Reel,,#fitness,1,3031.0,4387,148,8.0,65,122,9
IG0176,2024-02-15 12:28:00,Image,A day in the life: food edition.,#delhi #reels #travel,3,3591.0,5038,153,2.0,39,49,3
IG0177,2025-08-14 19:49:00,Reel,A day in the life: art edition.,#explorepage #ootd #lifestyle #india #instagood,5,7702.0,10137,411,14.0,122,72,12
IG0178,2024-06-28 20:43:00,Reel,Why business matters more than you think.,#delhi #marketing #travel #art #business #mumbai,6,13519.0,15898,858,42.0,222,98,24
IG0179,2025-07-04 15:15:00,Reel,Why fashion matters more than you think.,#ootd #lifestyle #technology,3,4272.0,4958,203,3.0,98,32,4
IG0180,2024-09-05 08:13:00,Video,A day in the life: fashion edition.,#foodie #technology #art #instagood #reels,5,5093.0,6382,257,9.0,54,36,8
IG0181,2024-03-15 06:51:00,Carousel,Behind the scenes of travel — swipe to see more.,#reels #marketing #instagood #nature #ootd #technology #fashion #fitness,8,3443.0,4500,95,4.0,68,14,1
IG0182,2025-12-13 19:45:00,Carousel,A day in the life: business edition.,#business #explorepage #delhi,3,3370.0,4608,143,1.0,26,123,25
IG0183,2024-09-24 11:32:00,Video,Check out our latest art update! What do you think?,#technology #fitness #marketing #nature #reels #photography #instagood,7,2318.0,3184,77,4.0,9,41,3
IG0184,2024-09-24 17:59:00,Reel,,#ootd #lifestyle #reels #nature #explorepage #delhi,6,5296.0,6820,398,13.0,136,229,55
IG0185,2025-05-15 23:41:00,Image,5 tips every beginner should know about wellness.,#technology #photography #art #mumbai #lifestyle #delhi #motivation,7,6824.0,8999,99,5.0,18,186,26
IG0186,2024-03-01 16:02:00,Carousel,Why fashion matters more than you think.,#travel,1,6845.0,9708,313,4.0,96,60,11
IG0187,2024-06-03 00:13:00,Carousel,Check out our latest art update! What do you think?,#technology #art #travel #marketing #india #fashion #instagood #motivation,8,4012.0,4583,176,,16,16,3
IG0188,2024-10-20 00:32:00,Image,A day in the life: travel edition.,#photography #fitness #mumbai #india #lifestyle #delhi,6,1735.0,2211,32,1.0,9,13,0
IG0189,2025-01-17 12:29:00,Carousel,Behind the scenes of fashion — swipe to see more.,#explorepage #ootd #foodie,3,2960.0,3286,138,8.0,27,87,15
