post_id,post_date,post_type,caption,hashtags,hashtag_count,reach,impressions,likes,comments,shares,saves,follows_gained,total_engagement,engagement_rate,day_of_week,hour,month,year,time_bucket
IG0027,2024-05-13 20:16:00,Reel,Check out our latest art update! What do you think?,#technology #delhi,2,10353,13028,485,18,312,360,59,1175,0.1135,Monday,20,May,2024,Evening
IG0028,2024-06-01 17:02:00,Reel,A day in the life: fashion edition.,#mumbai #delhi #lifestyle #startup #instagood,5,6015,9255,258,11,140,122,13,531,0.0883,Saturday,17,June,2024,Evening
IG0029,2024-02-10 11:13:00,Image,5 tips every beginner should know about art.,#fitness #art #delhi,3,4304,6699,142,4,70,88,16,304,0.0706,Saturday,11,February,2024,Morning
IG0030,2024-06-30 13:01:00,Image,A day in the life: travel edition.,#nature #startup,2,3061,3941,109,4,8,47,7,168,0.0549,Sunday,13,June,2024,Afternoon
IG0031,2024-02-09 15:14:00,Reel,We just launched something new in travel. Link in bio!,#technology #art #ootd,3,4637,5187,280,0,31,126,25,437,0.0942,Friday,15,February,2024,Afternoon
IG0032,2024-03-12 08:22:00,Reel,Check out our latest tech update! What do you think?,#business #delhi #nature #fashion #fitness #technology #lifestyle #foodie,8,3898,4388,227,8,84,140,34,459,0.1178,Tuesday,8,March,2024,Morning
IG0033,2024-11-17 13:38:00,Carousel,Big announcement coming soon about travel!,#fitness #business #reels #motivation #travel #art #delhi #fashion,8,8099,10005,261,3,24,293,63,581,0.0717,Sunday,13,November,2024,Afternoon
IG0034,2025-09-30 10:42:00,Carousel,Why tech matters more than you think.,#ootd,1,2351,2769,80,2,43,61,6,186,0.0791,Tuesday,10,September,2025,Morning
IG0035,2024-07-15 13:42:00,Video,We just launched something new in tech. Link in bio!,#photography #mumbai #ootd #business #fashion #lifestyle,6,4928,6928,266,5,45,127,6,443,0.0899,Monday,13,July,2024,Afternoon
IG0036,2025-04-21 14:28:00,Reel,A day in the life: fitness edition.,#india #marketing #photography,3,7436,9942,438,15,125,91,12,669,0.09,Monday,14,April,2025,Afternoon
IG0037,2024-08-28 21:19:00,Reel,We just launched something new in fashion. Link in bio!,#reels #lifestyle #fashion,3,13611,15280,952,39,240,568,103,1799,0.1322,Wednesday,21,August,2024,Night
IG0038,2025-04-11 13:56:00,Reel,No caption,#business #marketing #instagood,3,6499,7235,315,17,128,140,25,600,0.0923,Friday,13,April,2025,Afternoon
IG0039,2024-04-19 13:14:00,Carousel,We just launched something new in fashion. Link in bio!,#india #technology,2,6640,8585,306,16,45,40,2,407,0.0613,Friday,13,April,2024,Afternoon
IG0040,2025-04-20 21:33:00,Reel,No caption,#instagood #nature #technology #india #startup #marketing #motivation #explorepage,8,6799,7720,307,16,26,271,28,620,0.0912,Sunday,21,April,2025,Night
IG0041,2024-10-10 16:31:00,Reel,We just launched something new in tech. Link in bio!,#motivation #technology #foodie,3,9834,15131,765,38,111,122,24,1036,0.1053,Thursday,16,October,2024,Afternoon
IG0042,2024-05-21 04:14:00,Image,Why wellness matters more than you think.,#lifestyle #reels #foodie #startup #india #photography,6,3599,4628,119,3,67,94,12,283,0.0786,Tuesday,4,May,2024,Night
IG0043,2025-08-21 22:01:00,Image,We just launched something new in art. Link in bio!,#marketing #fashion #art #ootd #business #startup,6,2909,4512,96,4,22,79,10,201,0.0691,Thursday,22,August,2025,Night
IG0044,2025-02-02 10:42:00,Reel,Behind the scenes of fashion — swipe to see more.,#photography #technology #lifestyle #fashion #business #ootd,6,6962,10967,379,15,112,121,14,627,0.0901,Sunday,10,February,2025,Morning
IG0045,2024-02-21 08:24:00,Carousel,Why tech matters more than you think.,#reels #technology #nature #delhi #business,5,6953,10393,309,10,26,155,21,500,0.0719,Wednesday,8,February,2024,Morning
IG0046,2025-07-06 01:22:00,Image,We just launched something new in travel. Link in bio!,#foodie #travel #fashion,3,2312,2708,62,2,8,12,2,84,0.0363,Sunday,1,July,2025,Night
IG0047,2025-04-29 21:07:00,Reel,Behind the scenes of food — swipe to see more.,#technology #motivation #art,3,7922,9036,474,28,110,164,34,776,0.098,Tuesday,21,April,2025,Night
IG0048,2025-08-15 00:59:00,Video,We just launched something new in fitness. Link in bio!,#mumbai #business #instagood #reels,4,2697,4014,85,2,54,17,2,158,0.0586,Friday,0,August,2025,Night
IG0049,2025-09-06 03:50:00,Reel,Why business matters more than you think.,,0,4002,4639,198,8,98,120,29,424,0.1059,Saturday,3,September,2025,Night
IG0050,2024-01-13 13:52:00,Reel,No caption,#fitness #startup #art #technology #lifestyle #reels #foodie,7,8514,10317,473,5,265,56,12,799,0.0938,Saturday,13,January,2024,Afternoon
IG0051,2024-11-26 07:53:00,Carousel,We just launched something new in wellness. Link in bio!,#motivation,1,5905,8039,252,11,75,147,24,485,0.0821,Tuesday,7,November,2024,Morning
IG0052,2024-12-10 00:31:00,Image,A day in the life: business edition.,#photography #marketing #reels #art #motivation,5,12141,15038,218,7,101,227,14,553,0.0455,Tuesday,0,December,2024,Night
IG0053,2024-01-11 16:12:00,Video,No caption,#explorepage,1,1398,2106,56,1,28,38,9,123,0.088,Thursday,16,January,2024,Afternoon
IG0054,2025-12-29 15:28:00,Image,A day in the life: fitness edition.,,0,1761,2758,101,1,4,23,4,129,0.0733,Monday,15,December,2025,Afternoon
IG0055,2025-08-18 11:30:00,Video,A day in the life: tech edition.,#india #art #startup #nature #mumbai #marketing #explorepage #lifestyle,8,4711,6079,104,5,88,81,10,278,0.059,Monday,11,August,2025,Morning
IG0056,2025-07-02 22:11:00,Reel,Behind the scenes of tech — swipe to see more.,#reels #marketing #motivation,3,5842,8672,360,18,60,141,10,579,0.0991,Wednesday,22,July,2025,Night
IG0057,2024-11-05 00:45:00,Video,Behind the scenes of wellness — swipe to see more.,#lifestyle #motivation #travel #delhi #ootd #art #foodie #nature,8,1886,2708,79,2,8,43,6,132,0.07,Tuesday,0,November,2024,Night
IG0058,2025-03-27 10:11:00,Image,No caption,,0,6964,9582,216,11,64,46,2,337,0.0484,Thursday,10,March,2025,Morning
IG0059,2025-08-13 20:43:00,Image,5 tips every beginner should know about food.,,0,8258,9963,309,3,68,156,20,536,0.0649,Wednesday,20,August,2025,Evening
IG0060,2024-09-11 03:35:00,Carousel,A day in the life: wellness edition.,#instagood #explorepage #india #business #technology #marketing,6,3924,5324,209,6,64,128,30,407,0.1037,Wednesday,3,September,2024,Night
IG0061,2025-09-27 01:39:00,Reel,A day in the life: travel edition.,#reels,1,5778,7101,374,22,100,109,19,605,0.1047,Saturday,1,September,2025,Night
IG0062,2024-03-17 05:00:00,Reel,No caption,#technology #marketing #ootd #travel #explorepage #lifestyle,6,7126,8486,297,16,120,239,20,672,0.0943,Sunday,5,March,2024,Morning
IG0063,2025-10-02 18:42:00,Reel,5 tips every beginner should know about travel.,#startup #fitness #delhi,3,3720,4256,163,5,34,76,11,278,0.0747,Thursday,18,October,2025,Evening
IG0064,2024-06-18 09:38:00,Carousel,A day in the life: art edition.,#technology #fitness #instagood #ootd,4,3097,4759,148,1,27,95,18,271,0.0875,Tuesday,9,June,2024,Morning
IG0065,2024-02-10 13:47:00,Reel,A day in the life: fashion edition.,#instagood #motivation #fashion #foodie #explorepage,5,4311,5786,175,4,71,159,9,409,0.0949,Saturday,13,February,2024,Afternoon
IG0066,2025-06-15 20:28:00,Reel,No caption,#photography #mumbai #startup #marketing,4,7999,10845,477,7,128,222,21,834,0.1043,Sunday,20,June,2025,Evening
IG0067,2024-06-13 10:26:00,Reel,Big announcement coming soon about tech!,#ootd #business #delhi #travel #technology #india #photography,7,5256,6628,267,7,34,227,38,535,0.1018,Thursday,10,June,2024,Morning
IG0068,2024-01-02 21:55:00,Carousel,Check out our latest wellness update! What do you think?,#technology #startup #travel #reels #art #ootd #business #explorepage,8,4531,5181,272,10,87,83,6,452,0.0998,Tuesday,21,January,2024,Night
IG0069,2025-03-24 22:31:00,Reel,No caption,#fashion,1,12552,17389,467,27,259,188,13,941,0.075,Monday,22,March,2025,Night
IG0070,2024-08-18 03:29:00,Reel,A day in the life: wellness edition.,#lifestyle,1,4073,4860,189,3,118,33,5,343,0.0842,Sunday,3,August,2024,Night
IG0071,2025-04-28 07:29:00,Reel,Big announcement coming soon about art!,#lifestyle #business #reels #india #instagood #startup #travel #marketing,8,7220,11066,420,9,58,243,57,730,0.1011,Monday,7,April,2025,Morning
IG0072,2024-10-16 23:19:00,Carousel,No caption,#lifestyle #technology #delhi #marketing #art #photography #motivation,7,1817,2697,80,2,21,37,3,140,0.0771,Wednesday,23,October,2024,Night
IG0073,2024-09-01 18:24:00,Reel,Why wellness matters more than you think.,#startup #travel #nature,3,2519,3502,151,5,46,17,1,219,0.0869,Sunday,18,September,2024,Evening
IG0074,2024-06-04 15:02:00,Reel,Behind the scenes of business — swipe to see more.,#india #mumbai,2,10132,12435,505,24,206,255,33,990,0.0977,Tuesday,15,June,2024,Afternoon
IG0075,2025-04-12 00:46:00,Reel,No caption,#startup #lifestyle,2,6395,7613,323,15,126,263,20,727,0.1137,Saturday,0,April,2025,Night
IG0076,2025-02-11 20:05:00,Image,We just launched something new in fitness. Link in bio!,#delhi #business #nature #marketing #travel,5,2784,3291,72,3,31,35,7,141,0.0506,Tuesday,20,February,2025,Evening
IG0077,2024-04-02 13:06:00,Reel,A day in the life: food edition.,#technology,1,5076,6540,361,9,125,134,12,629,0.1239,Tuesday,13,April,2024,Afternoon
IG0078,2024-10-27 11:23:00,Image,Behind the scenes of food — swipe to see more.,#lifestyle #explorepage #india #startup #photography #foodie,6,5745,8923,25,0,108,114,13,247,0.043,Sunday,11,October,2024,Morning
IG0079,2025-05-24 18:09:00,Reel,Check out our latest tech update! What do you think?,#technology #motivation #instagood,3,7709,10536,599,29,58,140,13,826,0.1071,Saturday,18,May,2025,Evening
IG0080,2025-07-13 05:04:00,Image,We just launched something new in tech. Link in bio!,#art #mumbai #ootd #startup #motivation #explorepage #india,7,3787,5609,97,2,63,22,4,184,0.0486,Sunday,5,July,2025,Morning
IG0081,2025-01-25 18:22:00,Reel,Check out our latest fashion update! What do you think?,#ootd #fashion #business #motivation,4,11823,13891,548,25,283,384,72,1240,0.1049,Saturday,18,January,2025,Evening
IG0082,2024-10-20 07:38:00,Carousel,A day in the life: fashion edition.,#explorepage #reels #motivation #lifestyle #fitness,5,2973,3540,81,3,34,57,13,175,0.0589,Sunday,7,October,2024,Morning
IG0083,2024-05-14 02:58:00,Reel,Big announcement coming soon about food!,#nature #startup #photography #reels,4,6433,9043,507,27,193,187,35,914,0.1421,Tuesday,2,May,2024,Night
IG0084,2024-09-20 15:51:00,Video,We just launched something new in food. Link in bio!,#nature #fitness #technology #foodie,4,2592,3598,106,3,43,80,18,232,0.0895,Friday,15,September,2024,Afternoon
IG0085,2025-07-24 11:05:00,Carousel,Why tech matters more than you think.,#fashion #motivation #delhi #fitness #technology #photography,6,18387,23893,781,20,378,71,8,1250,0.068,Thursday,11,July,2025,Morning
IG0086,2024-08-27 15:01:00,Reel,Check out our latest food update! What do you think?,#nature #explorepage #foodie #technology #ootd #instagood #reels #travel,8,9161,11663,496,23,148,132,18,799,0.0872,Tuesday,15,August,2024,Afternoon
IG0087,2024-04-09 07:56:00,Reel,Why food matters more than you think.,#lifestyle #business #technology #art #startup #ootd #india #marketing,8,5804,7600,244,6,115,186,9,551,0.0949,Tuesday,7,April,2024,Morning
IG0088,2024-10-13 01:44:00,Carousel,Big announcement coming soon about fitness!,#reels #technology #mumbai #explorepage #art,5,3925,4484,117,4,62,23,4,206,0.0525,Sunday,1,October,2024,Night
IG0089,2025-02-11 08:12:00,Reel,We just launched something new in fitness. Link in bio!,#technology,1,5468,6536,278,9,106,41,8,434,0.0794,Tuesday,8,February,2025,Morning
IG0090,2024-12-07 07:08:00,Carousel,We just launched something new in travel. Link in bio!,#foodie #delhi #reels,3,1059,1377,58,1,6,34,8,99,0.0935,Saturday,7,December,2024,Morning
IG0091,2024-01-03 08:54:00,Reel,5 tips every beginner should know about tech.,#lifestyle #delhi,2,9212,12015,313,5,219,306,16,843,0.0915,Wednesday,8,January,2024,Morning
IG0092,2025-01-01 07:37:00,Reel,Behind the scenes of art — swipe to see more.,#fashion #photography #motivation #travel #lifestyle,5,8663,9614,320,15,72,285,27,692,0.0799,Wednesday,7,January,2025,Morning
IG0093,2025-06-09 18:06:00,Reel,Check out our latest fashion update! What do you think?,#india #explorepage #travel #instagood #ootd #mumbai #nature,7,9114,13924,424,12,204,124,13,764,0.0838,Monday,18,June,2025,Evening
IG0094,2024-04-20 15:45:00,Image,Why business matters more than you think.,#foodie #instagood #nature #lifestyle #mumbai #marketing #india,7,4356,5709,65,3,35,43,5,146,0.0335,Saturday,15,April,2024,Afternoon
IG0095,2025-09-11 13:06:00,Carousel,Why travel matters more than you think.,#delhi,1,6899,9001,159,5,62,246,49,472,0.0684,Thursday,13,September,2025,Afternoon
IG0096,2025-04-09 12:26:00,Reel,Big announcement coming soon about art!,#nature,1,5706,8828,423,13,21,93,14,550,0.0964,Wednesday,12,April,2025,Afternoon
IG0097,2025-04-30 02:05:00,Carousel,Behind the scenes of art — swipe to see more.,#foodie,1,3231,4902,127,4,20,41,2,192,0.0594,Wednesday,2,April,2025,Night
IG0098,2024-03-02 18:35:00,Image,A day in the life: tech edition.,#nature #fitness #startup #art #delhi #marketing #india #fashion,8,4055,5016,70,2,68,34,1,174,0.0429,Saturday,18,March,2024,Evening
IG0099,2025-11-03 15:14:00,Reel,Behind the scenes of business — swipe to see more.,#art,1,14204,20347,987,54,216,303,46,1560,0.1098,Monday,15,November,2025,Afternoon
IG0100,2025-07-28 19:39:00,Reel,Big announcement coming soon about business!,#fashion #motivation #instagood #photography #mumbai #art #business #lifestyle,8,7744,8838,364,0,111,133,16,608,0.0785,Monday,19,July,2025,Evening
IG0101,2025-02-14 02:09:00,Image,We just launched something new in fitness. Link in bio!,,0,4992,6679,38,2,75,43,2,158,0.0317,Friday,2,February,2025,Night
IG0102,2024-11-15 23:20:00,Reel,5 tips every beginner should know about food.,#travel,1,4244,5721,246,6,107,39,2,398,0.0938,Friday,23,November,2024,Night
IG0103,2025-03-29 21:27:00,Image,Big announcement coming soon about fitness!,#instagood #technology #startup #motivation #reels #business #india,7,10788,14212,295,15,176,234,24,720,0.0667,Saturday,21,March,2025,Night
IG0104,2025-05-13 16:42:00,Carousel,We just launched something new in fashion. Link in bio!,#travel #explorepage #business #instagood,4,3050,4753,105,6,38,30,4,179,0.0587,Tuesday,16,May,2025,Afternoon
IG0105,2024-09-18 09:20:00,Image,Why wellness matters more than you think.,#fashion,1,5705,8154,224,11,37,92,8,364,0.0638,Wednesday,9,September,2024,Morning
IG0106,2025-05-27 17:53:00,Video,Behind the scenes of wellness — swipe to see more.,#foodie #business #travel #startup #fashion,5,5072,6037,188,10,14,121,13,333,0.0657,Tuesday,17,May,2025,Evening
IG0107,2025-12-27 20:26:00,Video,No caption,#fitness #business #fashion #nature,4,7452,11343,235,12,21,156,14,424,0.0569,Saturday,20,December,2025,Evening
IG0108,2024-04-18 07:27:00,Reel,5 tips every beginner should know about business.,#india #foodie #business #ootd #nature #fitness,6,6582,8358,340,4,80,184,38,608,0.0924,Thursday,7,April,2024,Morning
IG0109,2024-07-17 11:22:00,Reel,A day in the life: food edition.,#explorepage #fitness,2,9388,13217,517,5,265,53,11,840,0.0895,Wednesday,11,July,2024,Morning
IG0110,2025-11-02 02:11:00,Carousel,No caption,#technology #mumbai #instagood #nature #india #foodie #explorepage,7,3424,4587,207,11,84,101,13,403,0.1177,Sunday,2,November,2025,Night
IG0111,2024-02-27 11:32:00,Carousel,No caption,#ootd,1,2816,3253,138,3,25,32,1,198,0.0703,Tuesday,11,February,2024,Morning
IG0112,2025-10-22 02:39:00,Reel,Big announcement coming soon about travel!,#business #technology #delhi #travel #mumbai #marketing #instagood #ootd,8,5715,7384,346,7,174,221,15,748,0.1309,Wednesday,2,October,2025,Night
IG0113,2025-04-06 03:51:00,Reel,No caption,#foodie #india #photography #travel #explorepage,5,20751,24559,1083,23,629,681,116,2416,0.1164,Sunday,3,April,2025,Night
IG0114,2024-10-16 12:26:00,Carousel,Why fitness matters more than you think.,#instagood #travel #nature #foodie #delhi,5,3204,3877,100,4,33,18,4,155,0.0484,Wednesday,12,October,2024,Afternoon
IG0115,2025-09-09 04:21:00,Image,Big announcement coming soon about food!,#mumbai,1,2964,4384,45,0,49,26,2,120,0.0405,Tuesday,4,September,2025,Night
IG0116,2024-05-12 19:45:00,Carousel,Big announcement coming soon about art!,#ootd,1,10660,12213,739,17,57,359,86,1172,0.1099,Sunday,19,May,2024,Evening
IG0117,2025-12-02 16:05:00,Image,Big announcement coming soon about travel!,#india #art #fashion #mumbai #ootd #foodie,6,4909,6751,193,5,42,49,9,289,0.0589,Tuesday,16,December,2025,Afternoon
IG0118,2024-05-20 04:04:00,Carousel,Big announcement coming soon about fashion!,#fitness #india #delhi #mumbai,4,3423,5222,149,5,54,108,12,316,0.0923,Monday,4,May,2024,Night
IG0119,2024-06-06 05:11:00,Carousel,Big announcement coming soon about art!,#technology #travel,2,1847,2843,92,3,39,60,11,194,0.105,Thursday,5,June,2024,Morning
IG0120,2024-10-18 23:50:00,Image,Big announcement coming soon about travel!,#explorepage #delhi #instagood #ootd #marketing #technology #startup,7,6546,9225,309,5,116,173,9,603,0.0921,Friday,23,October,2024,Night
IG0121,2024-10-15 12:32:00,Image,Behind the scenes of business — swipe to see more.,#startup #photography #reels #lifestyle #motivation #fashion #nature #explorepage,8,2970,4371,52,2,50,49,2,153,0.0515,Tuesday,12,October,2024,Afternoon
IG0122,2024-03-26 05:17:00,Reel,Check out our latest business update! What do you think?,#india #lifestyle #startup #foodie #explorepage #delhi #marketing,7,6471,9162,340,14,121,249,17,724,0.1119,Tuesday,5,March,2024,Morning
IG0123,2025-01-30 02:23:00,Image,5 tips every beginner should know about business.,#fashion #nature #fitness,3,4894,6219,153,8,18,138,25,317,0.0648,Thursday,2,January,2025,Night
IG0124,2025-12-13 04:48:00,Reel,Why food matters more than you think.,#technology #fashion #foodie #mumbai #motivation #fitness #startup,7,10514,11919,451,12,221,71,15,755,0.0718,Saturday,4,December,2025,Night
IG0125,2024-02-18 07:26:00,Video,Why tech matters more than you think.,#foodie #fitness #marketing #fashion #explorepage #art #instagood,7,4901,5451,118,0,58,128,23,304,0.062,Sunday,7,February,2024,Morning
IG0126,2024-07-10 21:42:00,Carousel,Behind the scenes of business — swipe to see more.,#india,1,2052,2425,28,1,15,13,2,57,0.0278,Wednesday,21,July,2024,Night
IG0127,2025-06-03 17:01:00,Carousel,Big announcement coming soon about fashion!,#marketing #travel #business #art #motivation #india,6,4027,6329,103,4,46,52,12,205,0.0509,Tuesday,17,June,2025,Evening
IG0128,2025-10-05 03:49:00,Reel,No caption,#lifestyle #travel #art #nature #photography,5,5101,6154,271,11,70,214,30,566,0.111,Sunday,3,October,2025,Night
IG0129,2025-04-13 01:18:00,Video,A day in the life: business edition.,#travel #reels #instagood,3,4645,6913,153,7,80,101,7,341,0.0734,Sunday,1,April,2025,Night
IG0130,2024-09-16 01:48:00,Reel,A day in the life: business edition.,#ootd #art #travel,3,6490,9723,415,6,44,223,30,688,0.106,Monday,1,September,2024,Night
IG0131,2025-03-26 12:21:00,Reel,A day in the life: business edition.,#marketing #instagood,2,3875,5390,201,10,47,94,4,352,0.0908,Wednesday,12,March,2025,Afternoon
IG0132,2025-09-08 05:34:00,Reel,A day in the life: tech edition.,#nature #fitness #foodie #instagood,4,4542,6358,105,4,127,174,10,410,0.0903,Monday,5,September,2025,Morning
IG0133,2025-03-30 11:28:00,Carousel,Why business matters more than you think.,,0,3937,6272,128,4,64,108,17,304,0.0772,Sunday,11,March,2025,Morning
IG0134,2024-03-17 21:40:00,Reel,Check out our latest wellness update! What do you think?,#art #india #photography #fashion #lifestyle #startup,6,6532,7472,184,2,35,143,10,364,0.0557,Sunday,21,March,2024,Night
IG0135,2025-01-05 12:36:00,Carousel,No caption,,0,7840,9408,352,5,131,216,12,704,0.0898,Sunday,12,January,2025,Afternoon
IG0136,2025-08-10 04:33:00,Video,5 tips every beginner should know about fashion.,#business #nature #motivation #explorepage #fitness,5,4138,6018,115,5,74,55,11,249,0.0602,Sunday,4,August,2025,Night
IG0137,2024-09-25 08:45:00,Reel,No caption,#reels #ootd #marketing #instagood #fitness #foodie #startup,7,6204,9359,413,17,113,225,14,768,0.1238,Wednesday,8,September,2024,Morning
IG0138,2025-11-29 10:42:00,Reel,5 tips every beginner should know about food.,#foodie #delhi #mumbai #ootd #india,5,4071,6252,186,10,52,51,10,299,0.0734,Saturday,10,November,2025,Morning
IG0139,2024-07-24 04:15:00,Carousel,Behind the scenes of food — swipe to see more.,#fashion #art #delhi #mumbai #technology #business #motivation,7,23246,33929,861,51,567,597,53,2076,0.0893,Wednesday,4,July,2024,Night
IG0140,2025-05-05 16:26:00,Carousel,Big announcement coming soon about wellness!,#mumbai #foodie #lifestyle #nature #instagood #explorepage,6,3950,6059,81,3,47,60,7,191,0.0484,Monday,16,May,2025,Afternoon
IG0141,2025-08-24 05:49:00,Video,Behind the scenes of fashion — swipe to see more.,#startup #india,2,1696,2480,100,5,33,26,2,164,0.0967,Sunday,5,August,2025,Morning
IG0142,2025-12-27 07:22:00,Carousel,5 tips every beginner should know about fitness.,#ootd #foodie #motivation #reels #delhi #mumbai #nature #lifestyle,8,10252,15035,546,25,235,100,9,906,0.0884,Saturday,7,December,2025,Morning
IG0143,2025-10-01 23:57:00,Video,We just launched something new in tech. Link in bio!,#mumbai #travel #fashion #foodie #instagood,5,4785,6441,136,7,52,88,10,283,0.0591,Wednesday,23,October,2025,Night
IG0144,2025-05-24 20:34:00,Carousel,No caption,#ootd #marketing #explorepage #business,4,3728,5907,93,3,36,111,8,243,0.0652,Saturday,20,May,2025,Evening
IG0145,2025-05-10 14:13:00,Video,5 tips every beginner should know about art.,#instagood #lifestyle #nature #delhi #art,5,1702,1934,47,1,15,47,6,110,0.0646,Saturday,14,May,2025,Afternoon
IG0146,2024-09-04 14:07:00,Reel,A day in the life: fashion edition.,#technology #explorepage #lifestyle #fitness,4,13298,15738,810,9,324,445,64,1588,0.1194,Wednesday,14,September,2024,Afternoon
IG0147,2024-06-12 10:59:00,Image,A day in the life: wellness edition.,#reels #photography #marketing #india #technology,5,4444,6817,191,2,30,20,3,243,0.0547,Wednesday,10,June,2024,Morning
IG0148,2025-04-13 07:13:00,Video,Check out our latest tech update! What do you think?,#travel #instagood #ootd #marketing #india,5,5992,7538,197,2,30,195,47,424,0.0708,Sunday,7,April,2025,Morning
IG0149,2025-01-09 12:23:00,Reel,Check out our latest art update! What do you think?,,0,6289,9647,379,13,108,211,16,711,0.1131,Thursday,12,January,2025,Afternoon
